Location,TIMESTAMP,AirT_15cm_C,RH_15cm,SoilT5_C,SoilT10_C,VWC,Rain(in)
Quincy,6/20/2020 20:15,28.54247,64.6078,34.30383,34.20215,NAN,0
Quincy,6/20/2020 20:30,27.91824,66.33551,33.80203,33.9346,NAN,0
Quincy,6/20/2020 20:45,27.54125,66.78881,33.31265,33.6261,NAN,0
Quincy,6/20/2020 21:00,27.13222,69.38039,32.87729,33.35873,NAN,0
Quincy,6/20/2020 21:15,26.63772,72.50157,32.51144,33.07565,NAN,0
Quincy,6/20/2020 21:30,26.35535,74.14993,32.17325,32.80917,NAN,0
Quincy,6/20/2020 21:45,25.92495,77.23296,31.85474,32.52057,NAN,0
Quincy,6/20/2020 22:00,25.87459,77.94114,31.57062,32.3038,NAN,0
Quincy,6/20/2020 22:15,25.39382,80.38619,31.29526,32.05142,NAN,0
Quincy,6/20/2020 22:30,25.2534,81.26226,31.06192,31.86942,NAN,0
Quincy,6/20/2020 22:45,25.10993,82.66183,30.82062,31.65259,NAN,0
Quincy,6/20/2020 23:00,24.82758,85.51898,30.6243,31.44275,NAN,0
Quincy,6/20/2020 23:15,24.31628,87.8343,30.44241,31.27512,NAN,0
Quincy,6/20/2020 23:30,24.46738,85.86391,30.23331,31.09872,NAN,0
Quincy,6/20/2020 23:45,24.47044,86.06538,30.03085,30.91119,NAN,0
Quincy,6/21/2020 0:00,24.48417,86.05622,29.83185,30.74606,NAN,0
Quincy,6/21/2020 0:15,24.22013,86.83157,29.68076,30.57382,NAN,0
